rcasiteid,rcapid,x,y
C0508R07,C0508R074,-96.6,39.43
C0508R07,C0508R075,-96.6,39.43
C0508R10,C0508R101,-96.54,38.34
C0508R10,C0508R102,-96.54,38.34
C0508R10,C0508R103,-96.54,38.34
C0508R10,C0508R104,-96.54,38.34
C0508R10,C0508R105,-96.54,38.34
C0508R11,C0508R111,-96.72,38.41
C0508R11,C0508R112,-96.72,38.41
C0508R11,C0508R113,-96.72,38.41
C0508R11,C0508R114,-96.72,38.41
C0508R11,C0508R115,-96.72,38.41
C0508R13,C0508R131,-96.54,37.07
C0508R13,C0508R132,-96.54,37.07
C0508R13,C0508R133,-96.54,37.07
C0508R13,C0508R134,-96.54,37.07
C0508R13,C0508R135,-96.54,37.07
C0508R14,C0508R141,-98.38,39.11
C0508R14,C0508R142,-98.38,39.11
C0508R14,C0508R143,-98.38,39.11
C0508R14,C0508R144,-98.38,39.11
C0508R14,C0508R145,-98.38,39.11
C0508R16,C0508R161,-98.95,40.14
C0508R16,C0508R162,-98.95,40.14
C0508R16,C0508R164,-98.95,40.14
C0508R16,C0508R165,-98.95,40.14
C0508R17,C0508R171,-96.55,39.28
C0508R17,C0508R172,-96.55,39.28
C0508R17,C0508R173,-96.55,39.28
C0508R17,C0508R174,-96.55,39.28
C0508R17,C0508R175,-96.55,39.28
C0508R20,C0508R201,-97.87,37.48
C0508R20,C0508R202,-97.87,37.48
C0508R20,C0508R203,-97.87,37.48
C0508R20,C0508R204,-97.87,37.48
C0508R20,C0508R205,-97.87,37.48
C0508R22,C0508R221,-96.87,36.71
C0508R22,C0508R222,-96.87,36.71
C0508R22,C0508R223,-96.87,36.71
C0508R22,C0508R224,-96.87,36.71
C0508R22,C0508R225,-96.87,36.71
C0508R23,C0508R231,-98.97,40.04
C0508R23,C0508R232,-98.97,40.04
C0508R23,C0508R233,-98.97,40.04
C0508R23,C0508R234,-98.97,40.04
C0508R23,C0508R235,-98.97,40.04
C0508W10,C0508W101,-97.66,37.98
C0508W10,C0508W102,-97.66,37.98
C0508W10,C0508W103,-97.66,37.98
C0508W10,C0508W104,-97.66,37.98
C0508W10,C0508W105,-97.66,37.98
C0508X01,C0508X011,-98.38,38.93
C0508X01,C0508X012,-98.38,38.93
C0508X01,C0508X013,-98.38,38.93
C0508X01,C0508X014,-98.38,38.93
C0508X01,C0508X015,-98.38,38.93
C0509C01,C0509C011,-95.41,39.07
C0509C01,C0509C012,-95.41,39.07
C0509C01,C0509C013,-95.41,39.07
C0509C01,C0509C014,-95.41,39.07
C0509C01,C0509C015,-95.41,39.07
C0509F01,C0509F011,-98.49,40.08
C0509F01,C0509F012,-98.49,40.08
C0509F01,C0509F013,-98.49,40.08
C0509F01,C0509F014,-98.49,40.08
C0509F01,C0509F015,-98.49,40.08
C0509W01,C0509W011,-98.56,37.89
C0509W01,C0509W012,-98.56,37.89
C0509W01,C0509W013,-98.56,37.89
C0509W01,C0509W014,-98.56,37.89
C0509W01,C0509W015,-98.56,37.89
C0509W05,C0509W051,-99.04,37.46
C0509W05,C0509W052,-99.04,37.46
C0509W05,C0509W053,-99.04,37.46
C0509W05,C0509W054,-99.04,37.46
C0509W05,C0509W055,-99.04,37.46
C0510C01,C0510C011,-95.6,37.06
C0510C01,C0510C012,-95.6,37.06
C0510C01,C0510C013,-95.6,37.06
C0510C01,C0510C014,-95.6,37.06
C0510C01,C0510C015,-95.6,37.06
C0510F01,C0510F011,-95.08,37.1
C0510F01,C0510F012,-95.08,37.1
C0510F01,C0510F013,-95.08,37.1
C0510F01,C0510F014,-95.08,37.1
C0510F01,C0510F015,-95.08,37.1
C0510F02,C0510F021,-94.72,38.29
C0510F02,C0510F022,-94.72,38.29
C0510F02,C0510F023,-94.72,38.29
C0510F02,C0510F024,-94.72,38.29
C0510F02,C0510F025,-94.72,38.29
C0510F03,C0510F031,-95.04,37.26
C0510F03,C0510F032,-95.04,37.26
C0510F03,C0510F033,-95.04,37.26
C0510F03,C0510F034,-95.04,37.26
C0510F03,C0510F035,-95.04,37.26
C0510P01,C0510P011,-95.3,37.33
C0510P01,C0510P012,-95.3,37.33
C0510P01,C0510P013,-95.3,37.33
C0510P01,C0510P014,-95.3,37.33
C0510P01,C0510P015,-95.3,37.33
C0510P03,C0510P031,-94.24,38.0
C0510P03,C0510P032,-94.24,38.0
C0510P03,C0510P033,-94.24,38.0
C0510P03,C0510P034,-94.24,38.0
C0510P03,C0510P035,-94.24,38.0
C0510P06,C0510P061,-95.56,37.39
C0510P06,C0510P062,-95.56,37.39
C0510P06,C0510P063,-95.56,37.39
C0510P06,C0510P064,-95.56,37.39
C0510P06,C0510P065,-95.56,37.39
C0510W03,C0510W031,-94.22,38.47
C0510W03,C0510W032,-94.22,38.47
C0510W03,C0510W033,-94.22,38.47
C0510W03,C0510W034,-94.22,38.47
C0510W03,C0510W035,-94.22,38.47
C0510W07,C0510W071,-94.18,38.81
C0510W07,C0510W072,-94.18,38.81
C0510W07,C0510W073,-94.18,38.81
C0510W07,C0510W074,-94.18,38.81
C0510W07,C0510W075,-94.18,38.81
